Code,Section,Section_es,Section_fr,en,es,fr
Special2,Special services for employers,,,Computerized matching between jobseeker/ vacancy,Adecuación computarizada entre buscador de empleo y vacante,Mise em adéquation informatisée entre demandeur d'emploi/ poste vacant
Special3,Special services for employers,,,Group information for suitable workers commissioned by employer,Información grupal para trabajadores competentes encargada por empleador,Information de groupe pour les travailleurs compétents commandés par l'employeur
Special4,Special services for employers,,,Targeted site visits in selected companies/ branches to raise demand and to develop specific service packages,Visitas de campo focalizadas de compañías/ sucursales selectas para elevar la demanda y desarrollar paquetes de servicios específicos,Visites de sites cibiés dans des entreprises/secteurs choisis pour recuellir la demnde et d´velloper des ensembles de services spécifiques
Special5,Special services for employers,,,Organization of job-fairs,Organización de ferias de empleo,Organisation des slons d'emplois
Special6,Special services for employers,,,Customer segmentation: different service levels/depths for different customer groups,Segmentación de clientes: servicios de diferentes niveles/alcance para distintos grupos de clientes,Segmentation client: différents niveaux/ exhaustivité des services pour les differents groupes de clients
Special7,Special services for employers,,,Personal PES advice/ support in case of company crisis (e.g. employment maintenance but also organisation of lay-offs etc.),"Asesoría personal del SPE/apoyo en caso de crisis de la firma (por ej., conservación del empleo y organización de licencias, etc.)","Conseil SPE personnel/assistance em cas d'entreprise em difficulté (ex. maintien de l'emplois, mais aussi organisation de licenciements.etc.)"
Information1,Labor market information,Información sobre el mercado laboral,Informations sur le marché du travail, Labour market statistics at national level,Estadísticas del mercado laboral a nivel nacional,Statistiques sur le marché du travail national
Information2,Labor market information,,,Labour market statistics at regional level/units,Estadísticas del mercado laboral a nivel de unidades regionales,Statistiques sur le marché  du travail au niveau regional/des unités
Information3,Labor market information,,,Labour market statistics at local level/units,Estadísticas del mercado laboral a niveles/unidades locales,Statistiques sur le marché du travail au niveau local/des unités
Information4,Labor market information,,, Labour market statistics  for the government and/or statistical institutions,Estadísticas del mercado laboral para el gobierno y/o instituciones estadísticas,Statistiques sur le marché du travail pour l'Etat et/ou les institut de la statístique
Information5,Labor market information,,,Labour market information to the general through paper leaflets/ brochures,Información del mercado laboral para el público general mediante panfletos/folletos,Informations sur les marché du travail à destination du grand public au moyen de prospectus/brochures
Information6,Labor market information,,, Labour market information to the general through Internet website,Información del mercado laboral para el público general mediante sitios de Internet,Informations sur les marché du travail à destination du grand public au moyen d'um site Web
Information7,Labor market information,,,Labour market information to the general through Internet download options,Información del mercado laboral para el público general mediante opciones de descarga de Internet,Informations sur les marché du travail à destination du grand public au moyen d'options de téléchargement sur Internet
Information8,Labor market information,,,Labour market research (beyond monitoring of labour market development),Investigación sobre el mercado laboral (que excede la supervisión del desarrollo del mercado laboral),Recherce sur le marché du travail (au-delà de la surveillance du développment des marchés du travail)
Information9,Labor market information,,,PES is a member of an employment observatory,El SEP es miembro de un observatorio de empleo,La SPE est membre d'um observatoire de l'emploi
Policies1,Active labor market policy,Políticas activas del mercado laboral,Programmes de politiques actives du marché du travail,General vocational guidance (i.e. counseling/ advice) for young people (school-to-work transition) and adults,"Orientación vocacional general (por ej., asesoramiento) para jóvenes (transición escuela-trabajo) y adultos",Orientation professionnelle génerale (c.à-d.conseils) pour les jeunes(entrée dans la vie active) et les adultes
Policies2,Active labor market policy,,,PES/organisation itself is active as provider of vocational training measures (focus qualications/ competencies),El PES/la organización es activo(a) como proveedor de medidas de capacitación profesional (calificaciones/ competencias prioritarias),Les SPE/organisme lui-même sont actifs comme fournisseur de mesures de formation professionelle (accent mis sur les qualifications/compétences)
Policies3,Active labor market policy,,,Funding and/or referral of vocational training sessions provided by external training organisations,Las sesiones de orientación vocacional son financiadas por o derivadas a organizaciones de capacitación externas,Financement et/ou orientation de séances de formation professionnelle fournis par des organismes de formation externes
Policies4,Active labor market policy,,,Work testing/ placement into temporary work trial,Trabajo/colocación a prueba durante un período de prueba,Travail à l'essai/placement dans un emploi temporaire à l'essai
Policies5,Active labor market policy,,,Self-employment schemes/business start-up,Esquemas de autoempleo para empresas/negocios emergentes,Plans em faveur du travail indépendent/démarrage d' entreprise
Policies6,Active labor market policy,,,Wage cost subsidies to promote recruitment of unemployed persons,Subsidios a los costos salariales para promover la contratación de desempleados,Subventions des coûts salariaux pour promovoir le recrutement de chômeurs
Policies7,Active labor market policy,,,Job creation measures as additional (public) employment in restricted target areas,Medidas de creación de puestos de trabajo como empleo (público) adicional en áreas restringidas seleccionadas,Mesures de crèation de postes comme emploi(public) supplémentaire dans des zones cibiés restreintes
Policies8,Active labor market policy,,,Employment maintenance measures (short time work schemes etc) for workers running the risk of ecomic layoff,Medidas de conservación del empleo (esquemas de trabajo de corta duración) para empleados en riesgo de despido,"Mesures de maintien d'emploi(plans de missions de courte durée, etc.) pour les travailleurs risquant um licenciement économique"
Policies9,Active labor market policy,,,Programmes to promote the mobility of workers,Programas para promover la movilidad laboral,Programmes de promotion de la mobilité des travailleurs
Targets1,Services targeted at special groups,Servicios dirigidos a grupos especiales,Services destinés à des groupes spécifiques,Promotion of labour market integration of young people (age < 25),Promoción de la integración de jóvenes (< 25 años) al mercado laboral,Promotion de l'insertion des jeunes(âge < 25) dans le marché du travail
Targets2,Services targeted at special groups,,,Programmes for older jobseekers (> 50 y),Programas para buscadores de empleo de mayor edad (> 50 años),Programmes pour les demandeurs d'emploi plus âgés(>50 ans)
Targets3,Services targeted at special groups,,,Lone parents,Familias monoparentales,Parents isolés
Targets4,Services targeted at special groups,,,Women: general employment promotion,Mujeres: promoción del empleo en general,Femmes: promotion générale de l'emploi
Targets5,Services targeted at special groups,,,Programmes for the disabled/ handicapped,Programas para discapacitados/impedidos,Programmes pour les invalides/handicapés
Targets6,Services targeted at special groups,,,Immigrants/ migrants,Inmigrantes/migrantes,Immigrants/migrants
Targets7,Services targeted at special groups,,,Long-term unemployed,Desempleados de largo plazo,Chômeurs de longue durée
Targets8,Services targeted at special groups,,,Ethnic mirities/ aboriginal communities,Minorías étnicas/Comunidades indígenas,Minorités éthniques/ communautés aborígènes
UB1,Unemployment benefits & basic allowances,Prestaciones por desempleo y/o asignaciones básicas,Prestations de chômage et/ou les allocations de base des demandeurs d’emploi ,Management of unemployment benefits (as a rule based on entitlements),"Manejo de beneficios por desempleo (como norma general, basada en los derechos)","Gestion des prestations de chômage (enrègle générale, basées sur des droits)"
UB2,Unemployment benefits & basic allowances,,,Management of jobseekers allowances / basic income support for jobseekers (as a rule means-tested),"Manejo de prestaciones/ayuda económica para buscadores de empleo (como norma general, de acuerdo con los recursos disponibles)","Gestion des allocations des demandeurs d'emploi/ soutien finaciers aux demandeurs d'emploi( em régle générale, soumis à conditions de ressources)"
UB3,Unemployment benefits & basic allowances,,,Management of social assistance allowances or related additional allowances,Manejo de beneficios de asistencia social o ingresos adicionales relacionados,Gestion de allocations d'aide sociale ou allocations supplementaires liées
Migration1,Labor migration,Migración laboral,Migration de travail,Job offers abroad,Ofertas de empleo en el exterior,Offres d'emplois à l'étranger
Migration2,Labor migration,,,Information and advice for finding jobs abroad,Información y asesoría para hallar empleo en el exterior,Renseiugnements et conseils pour trouver des emplois à l'étranger
Migration3,Labor migration,,,Assistance to foreign employers looking for migrant workers,Asistencia a empleadores extranjeros en busca de trabajadores migrantes,Assitance aux employeurs étrangers recherchant des travailleurs migrantes
Migration4,Labor migration,,,Assistance to foreign workers already residing in the country,Asistencia a trabajadores extranjeros que ya residen en el país,Assistance aux travailleurs étrangers résident déjà dans le pays
Migration5,Labor migration,,,Assistance to migrant returnees,Asistencia a migrantes retornados,Assitance aux migrants rapatriés
